index,conm,type,cik,date,path
11820986,"Amarantus BioSciences, Inc.",NT 10-Q,1424812,2012-05-15,https://www.sec.gov/Archives/edgar/data/1424812/0001255294-12-000317-index.htm
11821231,American Exploration Corp,NT 10-Q,1388486,2012-05-16,https://www.sec.gov/Archives/edgar/data/1388486/0001477932-12-001641-index.htm
11821247,"American Fiber Green Products, Inc.",NT 10-Q,1009925,2012-05-15,https://www.sec.gov/Archives/edgar/data/1009925/0001471242-12-000653-index.htm
11821518,American Realty Funds Corp,NT 10-Q,1496868,2012-05-14,https://www.sec.gov/Archives/edgar/data/1496868/0000943440-12-000489-index.htm
11821657,Amerilithium Corp.,NT 10-Q,1448763,2012-05-15,https://www.sec.gov/Archives/edgar/data/1448763/0001469709-12-000100-index.htm
11821706,"Amincor, Inc.",NT 10-Q,1167905,2012-05-16,https://www.sec.gov/Archives/edgar/data/1167905/0001165527-12-000489-index.htm
11821864,Andatee China Marine Fuel Services Corp,NT 10-Q,1469606,2012-05-15,https://www.sec.gov/Archives/edgar/data/1469606/0001144204-12-029711-index.htm
11822089,Annec Green Refractories Corp,NT 10-Q,1501162,2012-05-15,https://www.sec.gov/Archives/edgar/data/1501162/0001144204-12-029199-index.htm
11822116,"Anoteros, Inc.",NT 10-Q,1390292,2012-05-15,https://www.sec.gov/Archives/edgar/data/1390292/0001445866-12-000348-index.htm
11822375,"Apollo Medical Holdings, Inc.",NT 10-Q,1083446,2012-06-14,https://www.sec.gov/Archives/edgar/data/1083446/0001144204-12-034743-index.htm
11822505,"Applied Visual Sciences, Inc.",NT 10-Q,873198,2012-05-15,https://www.sec.gov/Archives/edgar/data/873198/0001349905-12-000005-index.htm
11822543,Aquasil International Inc.,NT 10-Q,1405260,2012-05-16,https://www.sec.gov/Archives/edgar/data/1405260/0001524777-12-000185-index.htm
11823073,Arrayit Corp,NT 10-Q,1084507,2012-05-15,https://www.sec.gov/Archives/edgar/data/1084507/0000798947-12-000032-index.htm
11823246,Ascend Acquisition Corp.,NT 10-Q,1350773,2012-05-16,https://www.sec.gov/Archives/edgar/data/1350773/0001144204-12-029917-index.htm
11823344,"Asian Trends Media Holdings, Inc",NT 10-Q,1306035,2012-05-14,https://www.sec.gov/Archives/edgar/data/1306035/0001445866-12-000320-index.htm
11823768,"AuraSound, Inc.",NT 10-Q,810208,2012-05-16,https://www.sec.gov/Archives/edgar/data/810208/0001493152-12-000482-index.htm
11823800,"Austin Acquisitions, Inc",NT 10-Q,1507858,2012-05-15,https://www.sec.gov/Archives/edgar/data/1507858/0001185185-12-001098-index.htm
11823844,AvWorks Aviation Corp,NT 10-Q,1315718,2012-05-15,https://www.sec.gov/Archives/edgar/data/1315718/0001165527-12-000463-index.htm
11823896,Avatar Ventures Corp.,NT 10-Q,1416299,2012-06-15,https://www.sec.gov/Archives/edgar/data/1416299/0000931731-12-000042-index.htm
11824114,Axius Inc.,NT 10-Q,1415935,2012-06-14,https://www.sec.gov/Archives/edgar/data/1415935/0001078782-12-001637-index.htm
11824684,BAKKEN RESOURCES INC,NT 10-Q,1450390,2012-05-16,https://www.sec.gov/Archives/edgar/data/1450390/0001145443-12-000734-index.htm
11824875,BALQON CORP.,NT 10-Q,1169440,2012-05-16,https://www.sec.gov/Archives/edgar/data/1169440/0001019687-12-001852-index.htm
11825993,"BARCLAY ROAD, INC.",NT 10-Q,1381873,2012-05-14,https://www.sec.gov/Archives/edgar/data/1381873/0001445866-12-000326-index.htm
11827380,BAYVIEW ACQUISITION CORP,NT 10-Q,1518461,2012-05-15,https://www.sec.gov/Archives/edgar/data/1518461/0001078782-12-001392-index.htm
11827910,BEESTON ENTERPRISES LTD,NT 10-Q,1221548,2012-05-16,https://www.sec.gov/Archives/edgar/data/1221548/0001056520-12-000221-index.htm
11829434,BIOCORAL INC,NT 10-Q,919605,2012-05-09,https://www.sec.gov/Archives/edgar/data/919605/0001477932-12-001417-index.htm
11829481,BIOFUELS POWER CORP,NT 10-Q,1391407,2012-05-14,https://www.sec.gov/Archives/edgar/data/1391407/0001432093-12-000354-index.htm
11829529,BIOJECT MEDICAL TECHNOLOGIES INC,NT 10-Q,810084,2012-05-16,https://www.sec.gov/Archives/edgar/data/810084/0001193125-12-236761-index.htm
11829627,BIOMEDICAL TECHNOLOGY SOLUTIONS HOLDINGS INC,NT 10-Q,1443062,2012-05-15,https://www.sec.gov/Archives/edgar/data/1443062/0001011034-12-000101-index.htm
11829822,"BIOZONE PHARMACEUTICALS, INC.",NT 10-Q,1412486,2012-05-15,https://www.sec.gov/Archives/edgar/data/1412486/0001521536-12-000388-index.htm
11830040,BLACK HAWK EXPLORATION,NT 10-Q,1349371,2012-04-17,https://www.sec.gov/Archives/edgar/data/1349371/0001493152-12-000314-index.htm
11830112,"BLACKBOX SEMICONDUCTOR, INC.",NT 10-Q,1419577,2012-05-15,https://www.sec.gov/Archives/edgar/data/1419577/0001078782-12-001416-index.htm
11830954,"BLACKSANDS PETROLEUM, INC.",NT 10-Q,1308137,2012-06-14,https://www.sec.gov/Archives/edgar/data/1308137/0001477932-12-001949-index.htm
11831053,"BLAST ENERGY SERVICES, INC.",NT 10-Q,1141197,2012-05-15,https://www.sec.gov/Archives/edgar/data/1141197/0001432093-12-000381-index.htm
11831193,BLUE DOLPHIN ENERGY CO,NT 10-Q,793306,2012-05-16,https://www.sec.gov/Archives/edgar/data/793306/0001193125-12-236711-index.htm
11831332,BLUESKY SYSTEMS CORP,NT 10-Q,1310893,2012-05-15,https://www.sec.gov/Archives/edgar/data/1310893/0001264931-12-000313-index.htm
11831688,"BODISEN BIOTECH, INC",NT 10-Q,1178552,2012-05-16,https://www.sec.gov/Archives/edgar/data/1178552/0001013762-12-001147-index.htm
11831862,BOLD ENERGY INC.,NT 10-Q,1444275,2012-06-15,https://www.sec.gov/Archives/edgar/data/1444275/0001517126-12-000092-index.htm
11831965,"BOND LABORATORIES, INC.",NT 10-Q,1374328,2012-05-15,https://www.sec.gov/Archives/edgar/data/1374328/0001415889-12-000717-index.htm
11833130,"BREF HR, LLC",NT 10-Q,1531537,2012-05-15,https://www.sec.gov/Archives/edgar/data/1531537/0001193125-12-234356-index.htm
11833684,BROADWAY FINANCIAL CORP \DE\,NT 10-Q,1001171,2012-05-16,https://www.sec.gov/Archives/edgar/data/1001171/0001193125-12-236414-index.htm
11834376,"BTHC XV, Inc.",NT 10-Q,1412090,2012-05-15,https://www.sec.gov/Archives/edgar/data/1412090/0001144204-12-029115-index.htm
11835574,BankGuam Holding Co,NT 10-Q,1527383,2012-05-16,https://www.sec.gov/Archives/edgar/data/1527383/0001193125-12-235552-index.htm
11835780,Baron Energy Inc.,NT 10-Q,1410012,2012-06-14,https://www.sec.gov/Archives/edgar/data/1410012/0001165527-12-000645-index.htm
11836282,"Bella Petrellas Holdings, Inc.",NT 10-Q,1499855,2012-04-12,https://www.sec.gov/Archives/edgar/data/1499855/0001193805-12-000633-index.htm
11836566,Berry Only Inc.,NT 10-Q,1498382,2012-05-16,https://www.sec.gov/Archives/edgar/data/1498382/0001165527-12-000493-index.htm
11836742,Big Bear Mining Corp.,NT 10-Q,1354213,2012-05-16,https://www.sec.gov/Archives/edgar/data/1354213/0001432093-12-000389-index.htm
11836785,BigString CORP,NT 10-Q,1335282,2012-05-15,https://www.sec.gov/Archives/edgar/data/1335282/0001213900-12-002688-index.htm
11836802,"Bill The Butcher, Inc.",NT 10-Q,1375554,2012-04-16,https://www.sec.gov/Archives/edgar/data/1375554/0001185185-12-000774-index.htm
11836815,Billet Finder Inc,NT 10-Q,1514149,2012-05-15,https://www.sec.gov/Archives/edgar/data/1514149/0001096350-12-000041-index.htm
11836877,"BioCube, INC.",NT 10-Q,1374135,2012-06-14,https://www.sec.gov/Archives/edgar/data/1374135/0001374135-12-000007-index.htm
11837039,Biopower Operations Corp,NT 10-Q,1510832,2012-04-16,https://www.sec.gov/Archives/edgar/data/1510832/0001144204-12-021864-index.htm
11837914,"Blue Earth, Inc.",NT 10-Q,1422109,2012-05-14,https://www.sec.gov/Archives/edgar/data/1422109/0001393905-12-000226-index.htm
11838108,"Bluefire Renewables, Inc.",NT 10-Q,1370489,2012-05-16,https://www.sec.gov/Archives/edgar/data/1370489/0001144204-12-029837-index.htm
11838142,"Blugrass Energy, Inc.",NT 10-Q,1365748,2012-05-15,https://www.sec.gov/Archives/edgar/data/1365748/0001026608-12-000069-index.htm
11838377,"Bonds.com Group, Inc.",NT 10-Q,1179090,2012-05-16,https://www.sec.gov/Archives/edgar/data/1179090/0001387131-12-001662-index.htm
11838429,"Boomerang Systems, Inc.",NT 10-Q,314712,2012-05-16,https://www.sec.gov/Archives/edgar/data/314712/0001144204-12-029935-index.htm
11838540,"Boston Therapeutics, Inc.",NT 10-Q,1473579,2012-05-15,https://www.sec.gov/Archives/edgar/data/1473579/0001102624-12-000435-index.htm
11838806,Breezer Ventures Inc.,NT 10-Q,1337182,2012-05-15,https://www.sec.gov/Archives/edgar/data/1337182/0001337182-12-000002-index.htm
11839010,Bridgeway Acquisition Corp.,NT 10-Q,1506215,2012-06-15,https://www.sec.gov/Archives/edgar/data/1506215/0001213900-12-003350-index.htm
11839454,"Brownie's Marine Group, Inc",NT 10-Q,1166708,2012-05-15,https://www.sec.gov/Archives/edgar/data/1166708/0001144204-12-029474-index.htm
11839609,Buckingham Exploration Inc.,NT 10-Q,1376804,2012-04-16,https://www.sec.gov/Archives/edgar/data/1376804/0001206774-12-001467-index.htm
11839669,Buildablock Corp.,NT 10-Q,1345865,2012-04-16,https://www.sec.gov/Archives/edgar/data/1345865/0001144204-12-021801-index.htm
11840020,Business Marketing Services Inc,NT 10-Q,1438138,2012-05-15,https://www.sec.gov/Archives/edgar/data/1438138/0001213900-12-002721-index.htm
11840057,"Butte Highlands Mining Company, Inc.",NT 10-Q,1455926,2012-05-16,https://www.sec.gov/Archives/edgar/data/1455926/0001052918-12-000257-index.htm
11840531,CALAIS RESOURCES INC,NT 10-Q,1044650,2012-04-16,https://www.sec.gov/Archives/edgar/data/1044650/0000949353-12-000098-index.htm
11840939,CAMBRIDGE PROJECTS INC.,NT 10-Q,1528308,2012-05-14,https://www.sec.gov/Archives/edgar/data/1528308/0001528308-12-000009-index.htm
11841337,"CANNABIS SCIENCE, INC.",NT 10-Q,1024626,2012-05-16,https://www.sec.gov/Archives/edgar/data/1024626/0001517126-12-000065-index.htm
11841357,"CANO PETROLEUM, INC",NT 10-Q,1253710,2012-05-15,https://www.sec.gov/Archives/edgar/data/1253710/0001104659-12-037468-index.htm
11841561,CAPITAL REALTY INVESTORS III LTD PARTNERSHIP,NT 10-Q,722833,2012-05-16,https://www.sec.gov/Archives/edgar/data/722833/0000354521-12-000020-index.htm
11841562,CAPITAL REALTY INVESTORS IV LIMITED PARTNERSHIP,NT 10-Q,740371,2012-05-16,https://www.sec.gov/Archives/edgar/data/740371/0000354521-12-000021-index.htm
11841564,CAPITAL REALTY INVESTORS LTD,NT 10-Q,354521,2012-05-16,https://www.sec.gov/Archives/edgar/data/354521/0000354521-12-000019-index.htm
11841668,CAPITOL CITY BANCSHARES INC,NT 10-Q,1070295,2012-05-15,https://www.sec.gov/Archives/edgar/data/1070295/0001193125-12-233459-index.htm
11841690,CAPSALUS CORP,NT 10-Q,949189,2012-05-16,https://www.sec.gov/Archives/edgar/data/949189/0001079973-12-000369-index.htm
11841792,CARBONICS CAPITAL CORP,NT 10-Q,1102414,2012-05-14,https://www.sec.gov/Archives/edgar/data/1102414/0001144204-12-028686-index.htm
11842802,CASPIAN SERVICES INC,NT 10-Q,1093430,2012-05-15,https://www.sec.gov/Archives/edgar/data/1093430/0001038838-12-000132-index.htm
11843026,"CATALYST RESOURCE GROUP, INC.",NT 10-Q,106311,2012-05-14,https://www.sec.gov/Archives/edgar/data/106311/0001471242-12-000628-index.htm
11844051,CENTERLINE HOLDING CO,NT 10-Q,1043325,2012-05-15,https://www.sec.gov/Archives/edgar/data/1043325/0001215811-12-000028-index.htm
11845085,CHARLOTTE CAPITAL CORP,NT 10-Q,1513904,2012-05-15,https://www.sec.gov/Archives/edgar/data/1513904/0001078782-12-001351-index.htm
11845348,CHASE PACKAGING CORP,NT 10-Q,1025771,2012-05-16,https://www.sec.gov/Archives/edgar/data/1025771/0001104659-12-037845-index.htm
11845822,CHESAPEAKE ENERGY CORP,NT 10-Q,895126,2012-05-11,https://www.sec.gov/Archives/edgar/data/895126/0001193125-12-228132-index.htm
11846105,CHIMERA INVESTMENT CORP,NT 10-Q,1409493,2012-05-10,https://www.sec.gov/Archives/edgar/data/1409493/0001157523-12-002771-index.htm
11846130,CHINA DIGITAL VENTURES CORP,NT 10-Q,1405660,2012-05-14,https://www.sec.gov/Archives/edgar/data/1405660/0001019687-12-001741-index.htm
11846176,"CHINA EDUCATION INTERNATIONAL, INC.",NT 10-Q,1367898,2012-05-15,https://www.sec.gov/Archives/edgar/data/1367898/0001448788-12-000142-index.htm
11846198,"CHINA GREEN CREATIVE, INC.",NT 10-Q,1388978,2012-05-15,https://www.sec.gov/Archives/edgar/data/1388978/0001445866-12-000358-index.htm
11846205,"CHINA HEALTH RESOURCE, INC.",NT 10-Q,1173784,2012-05-15,https://www.sec.gov/Archives/edgar/data/1173784/0001171520-12-000465-index.htm
11846213,CHINA INFRASTRUCTURE CONSTRUCTION Corp,NT 10-Q,1411057,2012-04-16,https://www.sec.gov/Archives/edgar/data/1411057/0001144204-12-021697-index.htm
11846239,CHINA LONGYI GROUP INTERNATIONAL HOLDINGS LTD,NT 10-Q,1010566,2012-05-15,https://www.sec.gov/Archives/edgar/data/1010566/0001204459-12-001161-index.htm
11846264,"CHINA PEDIATRIC PHARMACEUTICALS, INC.",NT 10-Q,1354071,2012-05-14,https://www.sec.gov/Archives/edgar/data/1354071/0001013762-12-001051-index.htm
11846364,CHINA YILI PETROLEUM CO,NT 10-Q,1339854,2012-05-15,https://www.sec.gov/Archives/edgar/data/1339854/0001096906-12-001413-index.htm
11846390,CHINACAST EDUCATION CORP,NT 10-Q,1261888,2012-05-11,https://www.sec.gov/Archives/edgar/data/1261888/0001144204-12-027794-index.htm
11847013,CICERO INC,NT 10-Q,945384,2012-05-15,https://www.sec.gov/Archives/edgar/data/945384/0001354488-12-002539-index.htm
11847081,CIG WIRELESS CORP.,NT 10-Q,1432754,2012-05-15,https://www.sec.gov/Archives/edgar/data/1432754/0001294606-12-000187-index.htm
11847222,CINTEL CORP,NT 10-Q,1191334,2012-05-15,https://www.sec.gov/Archives/edgar/data/1191334/0001013762-12-001112-index.htm
11847276,CIRTRAN CORP,NT 10-Q,813716,2012-05-16,https://www.sec.gov/Archives/edgar/data/813716/0001038838-12-000143-index.htm
11848173,"CLEAN TRANSPORTATION GROUP, INC.",NT 10-Q,1373792,2012-05-15,https://www.sec.gov/Archives/edgar/data/1373792/0001511164-12-000104-index.htm
11848179,"CLEANTECH TRANSIT, INC.",NT 10-Q,1371487,2012-06-15,https://www.sec.gov/Archives/edgar/data/1371487/0001477932-12-001961-index.htm
11848365,CLICKER INC.,NT 10-Q,1107998,2012-04-16,https://www.sec.gov/Archives/edgar/data/1107998/0001013762-12-000864-index.htm
11848581,"CMG HOLDINGS GROUP, INC.",NT 10-Q,1346655,2012-05-14,https://www.sec.gov/Archives/edgar/data/1346655/0001178924-12-000080-index.htm
11848674,CNB CORP /SC/,NT 10-Q,764581,2012-05-11,https://www.sec.gov/Archives/edgar/data/764581/0000948520-12-000026-index.htm
11848869,CO & PA 1999D Limited Partnership,NT 10-Q,1093942,2012-05-16,https://www.sec.gov/Archives/edgar/data/1093942/0000077877-12-000056-index.htm
11849103,COCONNECT INC,NT 10-Q,1088638,2012-05-15,https://www.sec.gov/Archives/edgar/data/1088638/0001078782-12-001378-index.htm
11850354,COMMERCETEL CORP,NT 10-Q,1447380,2012-05-15,https://www.sec.gov/Archives/edgar/data/1447380/0001415889-12-000711-index.htm
11850538,COMMUNITY FINANCIAL SHARES INC,NT 10-Q,1123735,2012-05-16,https://www.sec.gov/Archives/edgar/data/1123735/0001193125-12-236163-index.htm
11850545,COMMUNITY FIRST BANCORP,NT 10-Q,1047446,2012-05-16,https://www.sec.gov/Archives/edgar/data/1047446/0000948520-12-000030-index.htm
11850713,COMPETITIVE COMPANIES INC,NT 10-Q,1161706,2012-05-16,https://www.sec.gov/Archives/edgar/data/1161706/0001019687-12-001839-index.htm
11850724,COMPETITIVE TECHNOLOGIES INC,NT 10-Q,102198,2012-05-15,https://www.sec.gov/Archives/edgar/data/102198/0001360865-12-000079-index.htm
11850748,COMPLIANCE SYSTEMS CORP,NT 10-Q,1206133,2012-05-15,https://www.sec.gov/Archives/edgar/data/1206133/0001144204-12-029420-index.htm
11850753,COMPREHENSIVE CARE CORP,NT 10-Q,22872,2012-05-16,https://www.sec.gov/Archives/edgar/data/22872/0001193125-12-236754-index.htm
11851141,CONCIERGE TECHNOLOGIES INC,NT 10-Q,1005101,2012-05-15,https://www.sec.gov/Archives/edgar/data/1005101/0001471242-12-000671-index.htm
11851851,CONVENIENTCAST INC.,NT 10-Q,1269879,2012-05-15,https://www.sec.gov/Archives/edgar/data/1269879/0001493152-12-000459-index.htm
11852072,"COPsync, Inc.",NT 10-Q,1383154,2012-05-16,https://www.sec.gov/Archives/edgar/data/1383154/0001185185-12-001124-index.htm
11852966,"COVENANT BANCSHARES, INC.",NT 10-Q,1488591,2012-05-16,https://www.sec.gov/Archives/edgar/data/1488591/0000913849-12-000262-index.htm
11854382,CROWN AUTO HOLDINGS INC.,NT 10-Q,1504307,2012-05-15,https://www.sec.gov/Archives/edgar/data/1504307/0001255294-12-000325-index.htm
11854425,CROWN DYNAMICS CORP,NT 10-Q,1500123,2012-05-15,https://www.sec.gov/Archives/edgar/data/1500123/0001108078-12-000186-index.htm
11854457,CROWN MARKETING,NT 10-Q,1098009,2012-05-15,https://www.sec.gov/Archives/edgar/data/1098009/0001002334-12-000065-index.htm
11854793,CTD HOLDINGS INC,NT 10-Q,922247,2012-05-16,https://www.sec.gov/Archives/edgar/data/922247/0001213900-12-002752-index.htm
11855541,CYCLONE POWER TECHNOLOGIES INC,NT 10-Q,1442711,2012-05-15,https://www.sec.gov/Archives/edgar/data/1442711/0001398432-12-000407-index.htm
11856436,"Capital Financial Holdings, Inc",NT 10-Q,944696,2012-05-14,https://www.sec.gov/Archives/edgar/data/944696/0001354488-12-002361-index.htm
11856699,Cardigant Medical Inc.,NT 10-Q,1491487,2012-05-15,https://www.sec.gov/Archives/edgar/data/1491487/0001491487-12-000013-index.htm
11856892,"Carlyle Gaming & Entertainment, Ltd.",NT 10-Q,894847,2012-05-22,https://www.sec.gov/Archives/edgar/data/894847/0001176256-12-000382-index.htm
11857091,"Carrier Alliance Holdings, Inc.",NT 10-Q,1027484,2012-05-15,https://www.sec.gov/Archives/edgar/data/1027484/0001213900-12-002690-index.htm
11857227,Casablanca Mining Ltd.,NT 10-Q,1454007,2012-05-15,https://www.sec.gov/Archives/edgar/data/1454007/0001144204-12-029297-index.htm
11857441,Ceelox Inc.,NT 10-Q,1421766,2012-05-15,https://www.sec.gov/Archives/edgar/data/1421766/0001002014-12-000266-index.htm
11857452,"CelLynx Group, Inc.",NT 10-Q,1067286,2012-05-15,https://www.sec.gov/Archives/edgar/data/1067286/0001017386-12-000134-index.htm
11857509,Cellceutix CORP,NT 10-Q,1355250,2012-05-14,https://www.sec.gov/Archives/edgar/data/1355250/0001355250-12-000029-index.htm
11857800,"Ceres Ventures, Inc.",NT 10-Q,1002422,2012-05-14,https://www.sec.gov/Archives/edgar/data/1002422/0001144204-12-028429-index.htm
11857901,"Chang-On International, Inc.",NT 10-Q,42136,2012-05-16,https://www.sec.gov/Archives/edgar/data/42136/0001062993-12-001822-index.htm
11858207,Cheval Resources Corp,NT 10-Q,1515800,2012-05-15,https://www.sec.gov/Archives/edgar/data/1515800/0001079974-12-000215-index.htm
11858274,China 3C Group,NT 10-Q,1076784,2012-05-16,https://www.sec.gov/Archives/edgar/data/1076784/0001144204-12-029842-index.htm
11858311,"China BCT Pharmacy Group, Inc.",NT 10-Q,1399356,2012-05-16,https://www.sec.gov/Archives/edgar/data/1399356/0001213900-12-002742-index.htm
11858341,China Botanic Pharmaceutical,NT 10-Q,926844,2012-06-14,https://www.sec.gov/Archives/edgar/data/926844/0001001277-12-000042-index.htm
11858351,China Bull Management Inc,NT 10-Q,1510963,2012-05-15,https://www.sec.gov/Archives/edgar/data/1510963/0001510963-12-000018-index.htm
11858360,"China Ceetop.com, Inc.",NT 10-Q,1439254,2012-05-15,https://www.sec.gov/Archives/edgar/data/1439254/0001213900-12-002640-index.htm
11858374,"China Digital Animation Development, Inc.",NT 10-Q,928835,2012-05-15,https://www.sec.gov/Archives/edgar/data/928835/0001096906-12-001407-index.htm
11858393,China Energy CORP,NT 10-Q,1335137,2012-04-16,https://www.sec.gov/Archives/edgar/data/1335137/0001144204-12-021629-index.htm
11858400,"China Energy Recovery, Inc.",NT 10-Q,1208790,2012-05-16,https://www.sec.gov/Archives/edgar/data/1208790/0001144204-12-029933-index.htm
11858413,China Fruits Corp,NT 10-Q,1029802,2012-05-15,https://www.sec.gov/Archives/edgar/data/1029802/0001264931-12-000307-index.htm
11858447,"China Health Industries Holdings, Inc.",NT 10-Q,1309057,2012-05-15,https://www.sec.gov/Archives/edgar/data/1309057/0001144204-12-029728-index.htm
11858508,"China Kangtai Cactus Bio-tech, Inc.",NT 10-Q,1017699,2012-05-15,https://www.sec.gov/Archives/edgar/data/1017699/0001204459-12-001132-index.htm
11858514,"China Liaoning Dingxu Ecological Agriculture Development, In",NT 10-Q,1501958,2012-05-15,https://www.sec.gov/Archives/edgar/data/1501958/0001354488-12-002496-index.htm
11858538,China Media Group CORP,NT 10-Q,1211211,2012-05-15,https://www.sec.gov/Archives/edgar/data/1211211/0001369170-12-000001-index.htm
11858559,"China Natural Gas, Inc.",NT 10-Q,1120830,2012-05-10,https://www.sec.gov/Archives/edgar/data/1120830/0001144204-12-027331-index.htm
11858580,China PharmaHub Corp.,NT 10-Q,1462109,2012-05-15,https://www.sec.gov/Archives/edgar/data/1462109/0001199835-12-000355-index.htm
11858588,China Pharmaceuticals Inc,NT 10-Q,1341808,2012-05-15,https://www.sec.gov/Archives/edgar/data/1341808/0001013762-12-001074-index.htm
11858600,"China Printing & Packaging, Inc.",NT 10-Q,1422357,2012-05-15,https://www.sec.gov/Archives/edgar/data/1422357/0001013762-12-001082-index.htm
11858629,China Shenghuo Pharmaceutical Holdings Inc,NT 10-Q,1335106,2012-05-15,https://www.sec.gov/Archives/edgar/data/1335106/0001354488-12-002492-index.htm
11858716,"ChinaNet Online Holdings, Inc.",NT 10-Q,1376321,2012-05-15,https://www.sec.gov/Archives/edgar/data/1376321/0001144204-12-029550-index.htm
11859013,"Citadel Exploration, Inc.",NT 10-Q,1482075,2012-05-16,https://www.sec.gov/Archives/edgar/data/1482075/0001077048-12-000299-index.htm
11859258,"Claridge Ventures, Inc.",NT 10-Q,1442853,2012-06-15,https://www.sec.gov/Archives/edgar/data/1442853/0001096350-12-000045-index.htm
11859470,"CleanTech Innovations, Inc.",NT 10-Q,1382219,2012-05-15,https://www.sec.gov/Archives/edgar/data/1382219/0001185185-12-001068-index.htm
11860322,Colorado 2000B Limited Partnership,NT 10-Q,1127358,2012-05-16,https://www.sec.gov/Archives/edgar/data/1127358/0000077877-12-000058-index.htm
11860324,Colorado 2000C Limited Partnership,NT 10-Q,1127360,2012-05-16,https://www.sec.gov/Archives/edgar/data/1127360/0000077877-12-000060-index.htm
11860326,Colorado 2000D Limited Partnership,NT 10-Q,1127362,2012-05-16,https://www.sec.gov/Archives/edgar/data/1127362/0000077877-12-000062-index.htm
11860328,Colorado 2001A Limited Partnership,NT 10-Q,1156221,2012-05-16,https://www.sec.gov/Archives/edgar/data/1156221/0000077877-12-000064-index.htm
11860330,Colorado 2001B Limited Partnership,NT 10-Q,1156218,2012-05-16,https://www.sec.gov/Archives/edgar/data/1156218/0000077877-12-000066-index.htm
11860332,Colorado 2001C Limited Partnership,NT 10-Q,1156220,2012-05-16,https://www.sec.gov/Archives/edgar/data/1156220/0000077877-12-000068-index.htm
11860334,Colorado 2001D Limited Partnership,NT 10-Q,1156216,2012-05-16,https://www.sec.gov/Archives/edgar/data/1156216/0000077877-12-000070-index.htm
11860336,Colorado 2002A Limited Partnership,NT 10-Q,1224923,2012-05-16,https://www.sec.gov/Archives/edgar/data/1224923/0000077877-12-000072-index.htm
11860797,Computer Graphics International Inc.,NT 10-Q,1242513,2012-05-15,https://www.sec.gov/Archives/edgar/data/1242513/0001144204-12-028974-index.htm
11860820,Computer Vision Systems Laboratories Corp.,NT 10-Q,1403085,2012-05-15,https://www.sec.gov/Archives/edgar/data/1403085/0001477932-12-001609-index.htm
11861013,"Cono Italiano, Inc.",NT 10-Q,1307701,2012-05-15,https://www.sec.gov/Archives/edgar/data/1307701/0001144204-12-029321-index.htm
11861095,"Consolidation Services, Inc.",NT 10-Q,1392960,2012-05-15,https://www.sec.gov/Archives/edgar/data/1392960/0001393905-12-000239-index.htm
11861102,"Consorteum Holdings, Inc.",NT 10-Q,1387976,2012-05-15,https://www.sec.gov/Archives/edgar/data/1387976/0001144204-12-029674-index.htm
11861181,"Continental Resources Group, Inc.",NT 10-Q,1430975,2012-05-16,https://www.sec.gov/Archives/edgar/data/1430975/0001521536-12-000434-index.htm
11861488,"Cord Blood America, Inc.",NT 10-Q,1289496,2012-05-15,https://www.sec.gov/Archives/edgar/data/1289496/0001354488-12-002569-index.htm
11862052,"Coyote Resources, Inc.",NT 10-Q,1392121,2012-05-15,https://www.sec.gov/Archives/edgar/data/1392121/0001469299-12-000147-index.htm
11862116,"Creative Entertainment Holdings, INc.",NT 10-Q,1522212,2012-05-16,https://www.sec.gov/Archives/edgar/data/1522212/0001021432-12-000067-index.htm
11862479,"Crown City Pictures, INC.",NT 10-Q,1205332,2012-05-15,https://www.sec.gov/Archives/edgar/data/1205332/0001205332-12-000008-index.htm
11862770,"Cyalume Technologies Holdings, Inc.",NT 10-Q,1335293,2012-05-15,https://www.sec.gov/Archives/edgar/data/1335293/0001144204-12-029530-index.htm
11862852,CytoCore Inc,NT 10-Q,75439,2012-05-16,https://www.sec.gov/Archives/edgar/data/75439/0001144204-12-029999-index.htm
11863106,"DALIAN CAPITAL GROUP, INC.",NT 10-Q,1368568,2012-05-15,https://www.sec.gov/Archives/edgar/data/1368568/0001368568-12-000016-index.htm
11864153,DEBT RESOLVE INC,NT 10-Q,1106645,2012-05-16,https://www.sec.gov/Archives/edgar/data/1106645/0001477932-12-001646-index.htm
11864220,"DECOR PRODUCTS INTERNATIONAL, INC.",NT 10-Q,1435717,2012-05-15,https://www.sec.gov/Archives/edgar/data/1435717/0001448788-12-000144-index.htm
11864300,DEFENSE INDUSTRIES INTERNATIONAL INC,NT 10-Q,1069563,2012-05-16,https://www.sec.gov/Archives/edgar/data/1069563/0000910662-12-000199-index.htm
11864764,DELTA MUTUAL INC,NT 10-Q,1112985,2012-05-14,https://www.sec.gov/Archives/edgar/data/1112985/0001213900-12-002505-index.htm
11866102,DIGITAL CREATIVE DEVELOPMENT CORP,NT 10-Q,1016951,2012-05-16,https://www.sec.gov/Archives/edgar/data/1016951/0001471242-12-000685-index.htm
11866428,DIRECTVIEW HOLDINGS INC,NT 10-Q,1441769,2012-05-15,https://www.sec.gov/Archives/edgar/data/1441769/0001354488-12-002505-index.htm
11866575,DIVERSIFIED GLOBAL HOLDINGS GROUP INC.,NT 10-Q,1451775,2012-05-14,https://www.sec.gov/Archives/edgar/data/1451775/0001415889-12-000700-index.htm
